n;type;threshold;msec
1300;"reversed";20;171916
1400;"reversed";20;215708
1500;"reversed";20;227500
1600;"reversed";20;239000
1700;"reversed";20;251791
1800;"reversed";20;267375
1900;"reversed";20;273500
2000;"reversed";20;283208
2100;"reversed";20;299208
2200;"reversed";20;310750
2300;"reversed";20;323250
2400;"reversed";20;333583
2500;"reversed";20;344959
2600;"reversed";20;388333
2700;"reversed";20;466583
2800;"reversed";20;478750
2900;"reversed";20;494042
3000;"reversed";20;506375
3100;"reversed";20;525500
3200;"reversed";20;533958
3300;"reversed";20;550208
3400;"reversed";20;556834
3500;"reversed";20;568459
3600;"reversed";20;584083
3700;"reversed";20;596625
3800;"reversed";20;608250
3900;"reversed";20;621458
4000;"reversed";20;636500
4100;"reversed";20;651833
4200;"reversed";20;665166
4300;"reversed";20;684083
4400;"reversed";20;692917
4500;"reversed";20;707333
4600;"reversed";20;738792
4700;"reversed";20;732750
4800;"reversed";20;750542
4900;"reversed";20;757084
5000;"reversed";20;776125
5100;"reversed";20;786042
5200;"reversed";20;864667
5300;"reversed";20;952708
5400;"reversed";20;1020166
5500;"reversed";20;1034125
5600;"reversed";20;1045292
5700;"reversed";20;1064000
5800;"reversed";20;1077334
5900;"reversed";20;1095833
6000;"reversed";20;1106500
6100;"reversed";20;1123625
6200;"reversed";20;1139125
6300;"reversed";20;1156583
6400;"reversed";20;1167750
